Record Id,Data Source,Allocated  NN,Pcode,Xcord,Ycord,Last  Modified,Generic Geography/Street name?
442,Staff Survey,Leith,eh6 4ex,326228,676425,04/09/2013,
443,Staff Survey,Morningside,EH10 5LA,323776,670647,04/09/2013,
445,Staff Survey,Trinity,EH5 3ND,324564,676374,04/09/2013,
446,Staff Survey,NN not supplied,eh11 1ed,323845,672425,04/09/2013,
447,Staff Survey,Dalry,eh11 2ap,324031,672886,04/09/2013,
448,Staff Survey,Marchmont,EH9 1BJ,325363,672090,04/09/2013,
449,Staff Survey,Sciennes,EH9 2JR,326255,672028,04/09/2013,
450,Staff Survey,Clovenstone,EH14 3EU,320488,669640,04/09/2013,
451,Staff Survey,Carrick Knowe,EH12 7EL,320595,672318,04/09/2013,
452,Staff Survey,Leith,EH6 6RY,327197,676379,04/09/2013,
453,Staff Survey,Leith,EH6 6SA,327170,676324,04/09/2013,
454,Staff Survey,Southhouse,EH17 8DP,327857,667992,04/09/2013,
455,Staff Survey,Silverknowes,EH4 4GL,321191,675836,04/09/2013,
456,Staff Survey,Merchiston,EH11 1DW,323720,672441,04/09/2013,
457,Staff Survey,Blackford,EH9 3ER,326019,670978,04/09/2013,
458,Staff Survey,Clermiston,EH4 7ED,320108,674548,04/09/2013,
459,Staff Survey,Fairmilehead,eh10 6re,324508,668695,04/09/2013,
460,Staff Survey,Newington,EH16 5AF,326944,672124,04/09/2013,
461,Staff Survey,Leith,EH7 5QW,327132,674922,04/09/2013,
